hydro_year,modeled_mb,annual_pdd,observed_mb
1931,-1.0767,356.9396,
1932,-0.0130,290.0229,
1933,-0.0839,251.8500,
1934,0.1756,306.6000,
1935,1.3581,154.5167,
1936,0.9119,186.6062,
1937,0.0176,236.6417,
1938,0.8750,162.2729,
1939,1.7309,107.5229,
1940,0.8342,184.9333,
1941,-0.2272,285.3083,
1942,0.1536,280.8979,
1943,0.0626,264.0167,
1944,0.4070,285.3083,
1945,0.0109,283.9396,
1946,-1.7080,531.6833,
1947,1.7774,137.9396,
1948,-0.9408,391.7667,
1949,-0.3206,340.0583,
1950,0.5767,257.9333,
1951,-0.2768,332.6062,
1952,0.5413,244.3979,
1953,1.5076,61.8979,
1954,0.9549,156.1896,
1955,0.7630,183.5646,
1956,0.9525,144.0229,
1957,-0.0026,330.9333,
1958,-0.3885,343.1000,
1959,0.9374,165.3146,
1960,-0.0820,333.9750,
1961,0.3467,247.4396,
1962,-0.1041,279.2250,
1963,-0.9102,330.9333,
1964,1.7392,122.7313,
1965,0.7506,215.3500,
1966,0.9189,247.4396,
1967,1.0562,148.4333,
1968,0.2199,244.3979,
1969,0.3432,286.6771,
1970,-0.2089,282.5708,
1971,0.5655,130.4875,
1972,-0.3024,318.7667,
1973,0.4013,194.3625,
1974,0.3762,265.6896,
1975,-0.1977,238.3146,
1976,1.1780,112.2375,
1977,1.5063,119.6896,
1978,0.4635,184.9333,
1979,0.8260,213.9812,
1980,1.2661,191.0167,
1981,-0.2269,373.5167,
1982,-0.8249,431.3083,
1983,0.5873,177.4813,
1984,-0.7791,375.1896,
1985,-0.0875,298.8438,
1986,0.2067,329.5646,
1987,0.0897,315.7250,
1988,0.0638,251.8500,
1989,-0.1617,294.4333,
1990,-0.7406,432.9812,
1991,-0.5272,396.1771,
1992,-0.1258,271.7729,
1993,-0.4796,431.3083,
1994,0.7113,267.3625,
1995,-0.5472,288.3500,
1996,-0.5701,382.6417,
1997,-0.7061,361.3500,
1998,-0.2097,380.9688,
1999,-0.0372,374.8854,
2000,-0.0801,327.8917,
2001,-0.6736,397.8500,
2002,-2.0763,659.4333,
2003,-0.7780,410.0167,
2004,-0.6558,355.2667,
2005,-1.4662,490.4688,
2006,-0.5978,333.9750,
2007,-0.3660,326.5229,
2008,-1.0974,472.2187,
2009,-0.6246,327.8917,
2010,-1.3179,441.8021,
2011,-0.5822,473.8917,
2012,-0.6883,416.1000,
2013,-0.5849,333.9750,-0.7850
2014,-1.1675,531.6833,-1.2440
2015,-1.0469,464.7667,-0.9890
2016,-1.4576,490.7729,-1.9880
2017,-1.5754,569.5521,-1.3700
2018,-1.5568,616.8500,-1.4420
2019,-1.2685,478.3021,-1.3000
2020,-1.0776,470.8500,-0.3000
2021,-2.2464,642.5521,-3.0000
2022,-3.0495,758.1354,-2.5000
2023,-1.1967,590.8438,-1.5600
2024,-2.2034,587.8021,-2.0600
2025,0.1451,0.0000,
